"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"651",0,1,0,0,0
"652",1,1,0,0,0
"653",1,1,0,0,0
"654",211,210,28,15,18
"655",0,1,0,0,0
"656",213,208,33,13,16
"657",0,1,0,0,0
"658",219,216,27,12,18
"659",0,1,0,0,0
"660",0,1,0,0,0
"661",210,217,38,14,15
"662",223,209,27,12,17
"663",209,215,32,9,18
"664",213,229,33,10,17
"665",205,211,33,11,21
"666",0,1,0,0,0
"667",216,220,32,13,14
"668",0,1,0,0,1
"669",205,235,30,10,17
"670",0,2,0,0,0
"671",1,1,0,0,0
"672",210,219,32,13,16
"673",1,1,0,0,0
"674",243,245,35,8,18
"675",0,1,0,0,0
"676",210,196,32,9,25
"677",228,212,29,14,18
"678",4,3,1,0,0
"679",213,202,30,11,15
"680",214,209,27,13,18
"681",219,197,34,13,14
"682",218,230,28,9,15
"683",0,1,0,0,0
"684",213,203,28,14,21
"685",197,228,39,11,15
"686",223,229,31,13,18
"687",215,226,34,11,20
"688",0,1,0,0,0
"689",204,229,30,10,19
"690",216,214,39,9,16
"691",192,214,31,12,20
"692",1,1,0,0,0
"693",0,1,0,0,0
"694",223,228,30,9,13
"695",186,228,36,11,20
"696",0,1,0,0,0
"697",221,225,35,14,21
"698",0,1,0,0,0
"699",225,235,24,14,15
"700",221,235,31,15,17
"701",202,217,33,9,16
"702",0,1,0,0,0
"703",0,1,0,0,0
"704",0,1,0,0,0
"705",0,1,0,0,0
"706",216,242,40,12,19
"707",221,212,34,11,21
"708",1,2,0,0,0
"709",211,209,34,13,20
"710",198,199,32,10,18
"711",232,218,33,12,25
"712",194,194,35,10,17
"713",0,1,0,0,0
"714",0,1,0,0,0
"715",216,203,32,8,14
"716",2,1,0,0,1
"717",0,1,0,0,0
"718",222,217,35,11,16
"719",225,239,35,11,20
"720",0,1,0,0,0
"721",1,4,0,0,0
"722",1,1,0,0,1
"723",234,208,33,11,12
"724",0,1,0,0,0
"725",5,1,0,0,0
"726",236,220,29,11,14
"727",6,2,0,0,0
"728",211,218,35,11,15
"729",0,1,0,0,0
"730",0,1,0,0,0
"731",0,2,0,0,0
"732",0,1,0,0,0
"733",218,232,32,11,21
"734",216,195,29,11,17
"735",0,0,0,0,0
"736",205,224,42,14,20
"737",224,236,33,12,18
"738",0,1,0,0,0
"739",239,213,39,13,17
"740",224,221,31,12,18
"741",210,229,32,12,17
"742",0,1,0,0,0
"743",200,226,28,8,20
"744",0,0,0,0,0
"745",203,220,26,15,15
"746",0,1,0,0,0
"747",0,1,0,0,0
"748",0,1,0,0,0
"749",213,223,34,12,18
"750",202,215,38,12,18
"751",2,3,0,0,0
"752",213,240,39,8,17
"753",205,229,32,11,18
"754",219,195,28,11,16
"755",0,1,0,0,0
"756",231,243,29,13,13
"757",226,229,30,14,19
"758",0,1,0,0,0
"759",200,209,26,15,17
"760",243,221,28,12,19
"761",193,206,36,14,16
"762",209,214,31,12,16
"763",0,1,0,0,0
"764",219,247,33,12,21
"765",208,225,31,9,16
"766",204,219,27,11,19
"767",221,222,26,9,21
"768",235,241,38,13,17
"769",213,217,31,10,14
"770",230,209,31,12,21
"771",0,1,0,0,0
"772",192,205,29,11,21
"773",208,214,37,9,15
"774",192,216,36,11,21
"775",196,195,32,10,16
"776",1,1,0,1,0
"777",0,1,0,0,0
"778",1,0,0,0,0
"779",223,235,35,14,13
"780",222,225,30,13,16
"781",215,242,32,11,19
"782",215,213,24,10,14
"783",0,1,0,0,0
"784",0,1,0,0,0
"785",0,1,0,0,0
"786",232,232,30,11,19
"787",0,0,0,0,0
"788",205,217,31,10,15
"789",2,2,0,0,0
"790",232,213,27,12,20
"791",0,2,0,0,0
"792",0,1,0,0,0
"793",225,233,27,9,20
"794",0,1,0,0,0
"795",0,1,0,0,0
"796",235,225,24,12,16
"797",0,1,0,0,0
"798",0,1,0,0,0
"799",0,1,0,0,0
"800",211,232,35,12,14
"801",241,218,34,14,17
"802",216,240,34,14,14
"803",0,1,0,0,0
"804",240,231,39,8,18
"805",217,250,31,11,14
"806",0,1,0,0,0
"807",0,1,0,0,0
"808",194,239,31,10,17
"809",1,1,0,0,0
"810",222,229,32,9,16
"811",243,219,28,9,16
"812",197,204,34,12,16
"813",230,226,31,15,17
"814",214,227,33,7,23
"815",0,2,0,0,0
"816",224,230,36,16,24
"817",213,228,30,14,17
"818",222,228,29,10,17
"819",0,1,0,0,0
"820",0,0,0,0,0
"821",228,236,28,7,13
"822",232,229,25,10,15
"823",226,233,37,10,15
"824",0,1,0,0,0
"825",0,1,0,0,0
"826",0,1,0,0,0
"827",1,1,0,0,0
"828",225,217,35,10,18
"829",203,222,33,12,19
"830",203,222,30,6,20
"831",2,2,0,0,0
"832",1,1,0,0,0
"833",205,222,31,12,15
"834",0,1,0,0,0
"835",209,218,31,9,19
"836",206,211,39,10,22
"837",210,220,28,10,18
"838",1,0,0,0,0
"839",212,252,33,12,16
"840",195,212,31,12,16
"841",1,1,0,0,0
"842",200,212,34,13,19
"843",218,225,31,10,18
"844",200,204,24,15,18
"845",1,2,1,0,0
"846",0,0,0,0,0
"847",0,1,0,0,0
"848",0,1,0,0,0
"849",244,219,32,10,19
"850",0,1,0,0,0
"851",0,1,0,0,0
"852",0,1,0,0,0
"853",215,213,32,13,19
"854",206,219,37,12,18
"855",245,240,29,9,13
"856",205,231,33,11,20
"857",1,0,0,0,0
"858",0,1,0,0,0
"859",225,261,38,12,20
"860",209,220,34,11,20
"861",2,2,0,0,0
"862",0,1,0,0,0
"863",0,1,0,0,0
"864",0,1,0,0,0
"865",0,1,0,0,0
"866",0,1,0,0,0
"867",0,1,0,0,0
"868",0,1,0,0,0
"869",185,194,33,12,19
"870",1,1,0,0,0
"871",212,233,42,17,18
"872",203,215,33,11,23
"873",2,1,0,0,0
"874",207,216,33,10,16
"875",227,213,32,12,9
"876",0,1,0,0,0
"877",0,0,0,0,0
"878",0,0,0,0,0
"879",0,1,0,0,0
"880",193,218,33,11,18
"881",1,1,0,0,0
"882",205,221,33,10,16
"883",222,222,29,14,17
"884",202,220,29,14,17
"885",229,241,37,12,21
"886",209,200,32,13,18
"887",226,213,33,11,14
"888",222,259,42,8,24
"889",202,232,29,10,16
"890",217,225,32,13,14
"891",206,231,28,10,17
"892",210,215,30,13,18
"893",1,1,1,0,0
"894",243,206,27,10,16
"895",216,209,38,12,14
"896",1,1,0,0,2
"897",1,2,0,0,0
"898",202,202,25,8,17
"899",220,196,29,9,17
"900",198,227,33,11,15
"901",0,1,0,0,0
"902",207,229,25,12,16
"903",1,1,1,0,0
"904",217,228,29,11,19
"905",202,215,25,9,15
"906",238,217,41,14,15
"907",234,245,32,13,15
"908",0,1,0,0,0
"909",226,239,35,10,18
"910",205,218,39,15,17
"911",203,206,30,8,17
"912",225,201,33,9,14
"913",2,1,0,0,0
"914",0,1,0,0,0
"915",0,1,0,0,0
"916",236,205,28,12,14
"917",0,1,0,0,0
"918",186,222,32,11,18
"919",219,232,33,13,17
"920",0,1,0,0,0
"921",0,1,0,0,0
"922",211,224,30,17,14
"923",0,2,1,0,0
"924",211,212,35,12,19
"925",226,208,31,11,17
"926",197,210,39,10,17
"927",194,216,42,8,15
"928",0,1,0,0,0
"929",0,1,0,0,0
"930",1,1,0,0,0
"931",205,230,36,9,17
"932",212,229,28,12,18
"933",1,1,0,0,0
"934",0,1,0,0,0
"935",206,210,30,11,15
"936",218,236,38,8,16
"937",210,241,34,13,18
"938",218,214,34,9,22
"939",219,248,33,9,16
"940",207,224,31,9,20
"941",227,227,31,10,18
"942",0,0,0,0,0
"943",207,226,28,10,12
"944",0,1,0,0,0
"945",201,214,27,10,19
"946",198,227,29,8,15
"947",211,228,31,10,17
"948",1,1,1,0,0
"949",0,0,0,0,0
"950",211,213,32,12,18
"951",219,227,28,12,19
"952",213,221,30,11,25
"953",223,205,36,8,21
"954",207,224,33,12,21
"955",208,206,35,11,15
"956",237,249,34,11,18
"957",214,198,31,9,17
"958",0,0,1,0,0
"959",1,1,0,0,0
"960",1,1,0,0,0
"961",236,215,31,16,15
"962",0,1,0,0,0
"963",0,1,0,0,0
"964",0,1,0,0,0
"965",209,195,33,14,14
"966",1,1,0,0,0
"967",220,220,29,12,22
"968",1,1,0,0,0
"969",206,204,34,12,17
"970",245,206,32,9,18
"971",229,205,31,9,20
"972",0,2,0,0,0
"973",0,0,0,0,0
"974",214,208,34,12,21
"975",213,212,35,13,15
"976",192,222,33,9,22
"977",224,208,27,9,16
"978",237,235,33,12,19
"979",217,231,34,14,20
"980",220,202,29,10,21
"981",196,198,30,8,17
"982",0,1,0,0,0
"983",1,1,0,0,0
"984",0,1,0,0,0
"985",0,1,0,0,0
"986",0,1,0,0,0
"987",237,232,40,9,17
"988",222,231,29,14,19
"989",213,197,32,11,14
"990",1,1,0,0,0
"991",187,211,36,15,15
"992",208,208,30,11,18
"993",225,237,38,9,16
"994",218,231,30,12,15
"995",227,228,33,13,19
"996",218,216,23,17,12
"997",191,223,33,14,16
"998",0,0,0,0,0
"999",228,206,32,9,17
"1000",217,221,29,10,17
"1001",236,237,31,11,19
"1002",207,231,37,9,15
"1003",233,227,29,12,18
"1004",222,206,36,12,18
"1005",202,194,33,9,19
"1006",209,245,34,13,18
"1007",0,1,0,0,0
"1008",196,222,39,11,16
"1009",0,1,0,0,0
"1010",213,222,28,9,14
"1011",0,1,0,0,0
"1012",0,1,0,0,0
"1013",1,1,0,0,0
"1014",205,239,36,12,21
"1015",233,215,32,8,15
"1016",0,1,0,0,0
"1017",217,215,28,13,14
"1018",0,1,0,0,0
"1019",201,226,38,7,16
"1020",189,222,25,11,17
"1021",219,225,32,17,19
"1022",232,225,30,9,19
"1023",201,212,35,12,17
"1024",1,0,0,0,0
"1025",224,206,31,14,23
"1026",205,223,33,9,14
"1027",228,262,29,11,18
"1028",257,251,35,10,14
"1029",0,1,0,0,0
"1030",0,1,0,0,0
"1031",0,1,0,0,0
"1032",190,203,32,9,13
"1033",0,0,0,0,0
"1034",201,220,24,11,17
"1035",219,247,37,8,15
"1036",2,0,0,0,0
"1037",0,1,0,0,0
"1038",226,219,32,10,23
"1039",200,212,31,7,15
"1040",1,1,0,0,0
"1041",206,231,27,9,15
"1042",224,223,28,11,14
"1043",0,1,0,0,0
"1044",0,0,0,0,0
"1045",0,1,0,0,0
"1046",215,192,27,10,17
"1047",0,1,0,0,0
"1048",203,216,29,7,14
"1049",211,231,34,8,15
"1050",214,221,26,11,20
"1051",202,230,31,12,17
"1052",220,222,34,12,18
