"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"592",0,0,0,0,0
"593",56,68,33,0,0
"594",55,77,34,0,0
"595",63,81,42,0,0
"596",46,73,31,0,0
"597",0,0,0,0,0
"598",57,86,39,0,0
"599",61,78,36,0,0
"600",64,91,30,0,0
"601",61,66,32,10,36
"602",58,92,30,11,37
"603",59,97,36,0,0
"604",51,67,41,0,0
"605",54,86,29,8,45
"606",64,80,39,0,0
"607",0,0,0,0,0
"608",63,92,37,0,0
"609",53,66,34,0,0
"610",64,89,32,7,39
"611",57,70,32,0,0
"612",52,77,27,0,0
"613",49,62,41,11,43
"614",73,81,41,0,0
"615",62,90,37,0,0
"616",63,102,37,0,1
"617",77,78,34,0,0
"618",68,86,43,0,0
"619",60,79,39,0,0
"620",0,0,0,0,0
"621",59,96,36,0,0
"622",0,0,0,0,0
"623",0,0,0,0,0
"624",67,90,47,13,40
"625",52,86,32,4,26
"626",72,73,33,0,0
"627",60,90,41,11,30
"628",66,76,25,0,0
"629",60,68,23,0,0
"630",53,88,31,0,0
"631",58,73,30,6,41
"632",65,84,32,0,0
"633",51,58,32,9,36
"634",52,84,30,11,44
"635",0,0,0,0,0
"636",57,69,41,5,36
"637",79,68,32,0,0
"638",45,77,26,0,0
"639",54,51,40,0,0
"640",48,75,35,0,0
"641",60,85,25,7,45
"642",60,67,28,0,0
"643",51,88,35,0,0
"644",55,78,28,0,0
"645",66,87,32,0,0
"646",58,72,30,6,35
"647",0,0,0,0,0
"648",48,73,33,0,1
"649",56,69,32,0,3
"650",63,74,29,8,26
"651",0,0,0,0,0
"652",67,71,28,9,44
"653",76,84,30,9,26
"654",61,87,28,0,0
"655",51,83,36,0,0
"656",53,77,43,0,2
"657",0,0,0,0,0
"658",59,88,30,0,0
"659",53,85,34,13,46
"660",0,0,0,0,0
"661",47,80,32,0,0
"662",66,90,30,0,0
"663",0,0,0,0,0
"664",56,80,31,11,35
"665",56,82,35,0,0
"666",0,0,0,0,0
"667",57,79,33,10,42
"668",61,83,31,0,0
"669",55,92,31,0,0
"670",65,88,37,7,45
"671",72,73,31,0,0
"672",47,81,37,5,35
"673",0,0,0,0,0
"674",64,65,34,0,0
"675",56,78,30,0,0
"676",72,68,33,0,0
"677",62,103,38,8,36
"678",58,87,33,0,0
"679",0,0,0,0,0
"680",54,83,39,15,38
"681",64,92,32,0,0
"682",61,77,41,12,39
"683",59,78,35,8,37
"684",54,85,35,13,31
"685",0,1,0,0,0
"686",54,70,32,0,0
"687",0,0,0,0,0
"688",0,0,0,0,0
"689",50,75,40,0,0
"690",60,79,35,0,0
"691",66,87,34,12,46
"692",63,75,40,0,0
"693",69,83,31,9,40
"694",0,0,0,0,0
"695",62,75,31,0,0
"696",64,74,32,0,0
"697",56,85,33,6,29
"698",68,80,32,7,25
"699",57,68,46,0,0
"700",55,79,37,0,0
"701",55,74,35,0,0
"702",60,72,25,0,0
"703",0,0,0,0,0
"704",71,84,38,10,33
"705",48,90,36,0,0
"706",65,89,33,0,0
"707",58,73,37,0,0
"708",54,82,34,8,29
"709",51,66,30,0,1
"710",0,0,0,0,0
"711",57,90,44,0,0
"712",67,76,46,8,45
"713",59,76,34,0,0
"714",54,78,38,10,40
"715",64,99,44,0,0
"716",64,67,31,9,37
"717",0,0,0,0,0
"718",58,98,33,11,36
"719",63,77,35,0,0
"720",53,79,28,14,33
"721",49,79,36,7,36
"722",61,77,51,5,37
"723",61,91,26,13,32
"724",49,95,37,0,0
"725",54,73,37,12,34
"726",61,69,36,0,0
"727",75,88,46,7,39
"728",51,76,33,10,38
"729",54,77,29,0,0
"730",49,86,34,0,0
"731",58,88,31,0,0
"732",66,102,43,5,39
"733",66,90,38,6,40
"734",64,82,28,12,30
"735",56,78,39,0,0
"736",63,71,42,0,0
"737",56,80,40,5,40
"738",63,90,34,9,41
"739",57,88,38,0,0
"740",55,96,37,0,0
"741",63,72,24,4,34
"742",54,70,33,13,38
"743",52,81,37,14,42
"744",61,103,28,0,0
"745",47,68,32,0,0
"746",55,73,36,1,2
"747",58,85,43,13,42
"748",58,86,36,6,31
"749",62,73,40,0,0
"750",62,91,39,0,0
"751",53,84,40,0,0
"752",0,0,0,0,0
"753",50,75,28,7,45
"754",68,77,33,0,0
"755",63,73,35,11,43
"756",56,81,37,0,0
"757",65,93,36,0,0
"758",68,79,33,10,40
"759",55,68,30,0,0
"760",53,74,39,0,0
"761",63,94,42,10,33
"762",66,78,29,11,46
"763",61,79,37,12,41
"764",0,0,0,0,0
"765",56,83,42,8,33
"766",60,94,39,0,0
"767",56,64,33,5,31
"768",65,88,33,0,0
"769",0,0,0,0,0
"770",62,86,35,0,0
"771",63,84,31,6,37
"772",60,84,43,0,0
"773",67,83,42,0,0
"774",58,77,30,12,41
"775",54,91,30,0,1
"776",54,77,35,15,37
"777",56,73,41,0,0
"778",54,87,41,0,0
"779",47,82,27,0,0
"780",51,88,40,0,0
"781",54,68,28,0,2
"782",0,0,0,0,0
"783",52,85,41,0,0
"784",56,92,32,0,0
"785",49,78,35,0,0
"786",51,82,36,7,32
"787",55,93,32,7,39
"788",0,0,0,0,0
"789",71,78,34,0,0
"790",55,84,35,5,34
"791",71,83,29,5,43
"792",53,81,32,0,0
"793",42,93,34,7,34
"794",0,0,0,0,0
"795",57,79,31,0,0
"796",69,72,33,0,0
"797",50,89,28,5,46
"798",58,92,37,0,0
"799",57,82,33,0,0
"800",64,83,39,0,1
"801",64,85,30,8,38
"802",0,1,0,0,0
"803",49,81,43,6,42
"804",46,68,37,13,35
"805",56,90,40,0,0
"806",66,75,28,0,0
"807",66,73,38,0,0
"808",57,74,34,5,39
"809",51,68,26,0,4
"810",0,0,0,0,0
"811",74,86,37,0,0
"812",0,0,0,0,0
"813",64,91,35,0,0
"814",46,70,41,0,0
"815",0,0,0,0,0
"816",56,85,36,8,36
"817",35,73,27,13,34
"818",47,83,39,0,0
"819",0,0,0,0,0
"820",60,79,38,0,0
"821",57,77,34,0,0
"822",52,77,35,6,37
"823",63,84,32,0,0
"824",51,74,29,0,0
"825",52,89,36,5,38
"826",59,86,37,0,0
"827",58,79,24,0,0
"828",66,99,29,0,0
"829",68,66,34,0,0
"830",50,80,35,0,0
"831",60,68,35,0,0
"832",61,98,36,0,0
"833",56,78,40,0,0
"834",41,72,31,8,33
"835",47,96,45,4,38
"836",65,79,31,0,0
"837",0,0,0,0,0
"838",60,87,31,0,0
"839",61,76,38,0,0
"840",55,75,30,0,0
"841",0,0,0,0,0
"842",77,77,36,11,37
"843",0,0,0,0,0
"844",61,88,39,9,43
"845",54,85,35,0,0
"846",0,0,0,0,0
"847",54,67,36,0,0
"848",57,88,32,15,42
"849",77,75,32,6,41
"850",49,79,30,5,39
"851",64,90,42,0,0
"852",0,0,0,0,0
"853",52,75,40,0,0
"854",63,81,39,12,38
"855",52,83,26,13,42
"856",62,96,31,1,1
"857",74,82,36,11,37
"858",55,89,25,0,1
"859",67,74,35,9,49
"860",74,83,25,5,36
"861",43,62,36,0,0
"862",65,92,43,0,0
"863",62,78,29,0,2
"864",56,74,33,7,33
"865",79,90,35,13,30
"866",58,82,35,0,0
"867",58,80,37,7,32
"868",53,78,30,0,0
"869",0,0,0,0,0
"870",48,83,29,9,36
"871",66,74,33,0,0
"872",52,85,31,0,0
"873",78,82,33,6,36
"874",60,95,39,6,35
"875",69,85,37,0,0
"876",0,0,0,0,0
"877",66,87,31,12,39
"878",70,77,37,0,0
"879",0,0,0,0,0
"880",57,83,32,12,35
"881",42,81,34,11,38
"882",67,72,28,7,38
"883",51,86,33,0,0
"884",0,0,0,0,0
"885",48,80,35,0,0
"886",51,70,41,0,0
"887",54,78,34,0,0
"888",0,1,0,0,0
"889",59,61,36,12,35
"890",64,76,38,7,36
"891",57,86,29,3,36
"892",61,74,30,9,35
"893",46,86,43,0,0
"894",60,61,30,0,0
"895",58,74,32,0,0
"896",0,0,0,0,0
"897",52,72,38,0,0
"898",53,76,37,0,0
"899",0,0,0,0,0
"900",63,69,34,0,0
"901",56,89,31,0,1
"902",65,86,27,0,0
"903",50,74,27,0,0
"904",62,67,35,8,42
"905",59,81,42,0,0
"906",0,0,0,0,0
"907",61,78,32,0,0
"908",0,0,0,0,0
"909",65,86,25,9,45
"910",72,80,32,7,37
"911",68,74,32,0,0
"912",46,80,35,0,0
"913",69,90,33,0,1
"914",67,94,33,6,29
"915",64,78,29,7,40
"916",57,95,37,3,37
"917",0,0,0,0,0
"918",67,59,34,0,0
"919",61,74,33,0,0
"920",61,69,37,0,4
"921",49,89,33,12,37
"922",56,83,36,0,0
"923",0,1,0,0,0
"924",60,70,35,0,0
"925",67,74,29,0,0
"926",46,87,43,0,0
