"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"894",219,228,37,0,0
"895",0,1,0,0,0
"896",220,233,28,12,13
"897",217,221,30,13,19
"898",231,230,40,9,11
"899",220,224,29,0,0
"900",194,216,35,0,0
"901",209,220,41,7,13
"902",229,229,32,0,0
"903",251,231,28,7,17
"904",215,246,25,0,0
"905",237,245,33,1,0
"906",201,226,30,10,13
"907",222,237,35,0,0
"908",233,237,35,4,11
"909",225,259,35,0,0
"910",224,221,33,0,0
"911",240,238,36,5,5
"912",1,0,0,0,0
"913",240,231,29,0,0
"914",234,237,40,12,17
"915",249,223,34,0,0
"916",255,223,34,1,1
"917",245,247,30,0,1
"918",235,256,34,0,0
"919",235,220,28,1,1
"920",0,1,1,0,0
"921",1,1,0,0,0
"922",205,229,41,8,11
"923",237,239,43,13,15
"924",250,259,35,8,11
"925",213,224,36,1,2
"926",240,240,35,0,0
"927",244,255,37,8,11
"928",214,211,37,0,0
"929",227,270,32,11,15
"930",232,221,27,8,13
"931",224,222,32,0,0
"932",0,0,0,0,0
"933",244,270,39,6,13
"934",220,258,36,7,10
"935",233,251,33,9,16
"936",213,214,35,0,0
"937",225,214,34,1,0
"938",208,232,32,0,0
"939",249,223,29,8,14
"940",0,1,0,0,0
"941",218,255,31,9,15
"942",217,227,35,11,11
"943",210,214,28,0,0
"944",235,247,37,0,0
"945",218,193,33,0,0
"946",221,227,41,6,10
"947",251,244,32,0,0
"948",226,225,34,0,0
"949",0,0,0,0,0
"950",248,248,40,0,0
"951",236,231,26,9,11
"952",227,225,31,0,1
"953",0,1,0,0,0
"954",213,225,36,10,13
"955",209,220,33,1,1
"956",237,216,34,0,0
"957",183,209,32,0,0
"958",229,244,33,0,0
"959",1,1,0,0,0
"960",232,226,29,7,18
"961",228,228,39,12,16
"962",223,221,34,0,0
"963",207,206,34,1,1
"964",262,252,32,0,0
"965",236,208,34,0,0
"966",222,245,40,0,0
"967",237,227,34,0,0
"968",219,205,29,5,15
"969",0,1,0,0,0
"970",231,251,31,0,0
"971",0,1,0,0,0
"972",227,237,38,0,0
"973",227,244,28,1,1
"974",205,222,42,12,16
"975",245,231,35,0,0
"976",231,247,34,7,10
"977",222,236,29,7,9
"978",221,242,32,6,12
"979",0,1,0,0,0
"980",224,271,36,0,0
"981",223,218,36,0,0
"982",225,258,34,0,0
"983",258,257,35,7,17
"984",259,253,32,0,0
"985",227,235,32,14,10
"986",256,242,27,0,0
"987",219,225,36,1,0
"988",225,224,39,1,1
"989",260,224,32,0,0
"990",233,251,33,3,4
"991",243,247,32,0,0
"992",211,234,36,0,0
"993",243,242,33,0,0
"994",218,244,27,0,0
"995",225,261,32,0,0
"996",227,229,26,9,13
"997",209,222,33,0,0
"998",229,216,34,0,0
"999",225,248,34,9,18
"1000",256,268,35,7,10
"1001",231,221,29,0,1
"1002",218,225,33,0,0
"1003",203,226,32,0,2
"1004",0,1,0,0,0
"1005",0,1,0,0,0
"1006",233,229,29,7,9
