"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"457",37.0927136383045,38.5020465108121,39.3158756726728,76.0509028741799,57.1965348438804
"458",44.6640184312984,44.9081034859217,47.2521016735236,87.5395670602505,76.2307392637073
"459",41.6349335894431,45.5335347902085,41.8728566015364,0,0
"460",30.3411834758971,31.9016387984925,29.2985020931689,51.5418461942569,56.53262179133
"461",36.6315210177276,38.7493263665749,40.4023832050581,0,0
"462",33.0608867788749,36.8988134794392,34.66823635158,0,0
"463",0,0.490375894942372,0,0,0
"464",43.067774701935,42.4001243000521,42.1478354973101,61.3465788361484,64.8912047254314
"465",40.1119045942736,40.438292297711,37.611126066748,55.1692258210883,58.3708644508204
"466",39.7481061455591,44.5974025577857,34.5816897089271,0,0
"467",0,0,0,0,0
"468",36.2323106074171,36.7051839349293,36.2323106074171,45.3798176257508,57.5001806270218
"469",36.1195385949465,43.0967603578932,32.4498264892147,55.6255534702063,76.3895811869043
"470",35.4961014976739,38.3548003654538,35.6932236725282,77.4244238868306,63.1877992984921
"471",52.7780610993023,60.8151488900976,55.3070410274285,0,0
"472",37.2383671738537,39.4075515107172,42.451673862119,0,0
"473",0,0,0,0,0
"474",42.0403758215869,45.8619893369934,50.2621089052009,0,57.1522147698462
"475",0,0,0,0,0
"476",33.9764438725575,34.8405775776142,31.1212357718143,72.4369597309625,65.5469241776993
"477",38.9068096145981,41.4327362273987,38.7222923357783,0,0
"478",0,0,0,0,0
"479",27.6012998968904,31.1913793036248,28.3072686089837,0,0
"480",31.3714930270134,37.5340856314046,32.7550133008243,128.903522297582,131.717797855867
"481",0,1.5245675454018,0,0,0
"482",33.7868302958556,37.4558632226831,39.3068217095487,0,0
"483",0,0.387876510703674,0,0,0
"484",34.4763020373628,33.8148979536295,37.2907895731194,122.687337327602,94.1807467575589
"485",27.5850011495206,29.7007330270144,24.6782762988657,90.5790894866095,70.7922567441212
"486",35.880592231355,35.2338243995807,38.2456332869709,0,0
"487",32.1500489178917,36.1419290711279,34.1344857130071,66.276386214963,68.2753868986752
"488",53.9827353581614,54.547088468651,55.9671326840259,0,0
"489",0,0,0,0,0
"490",36.1847154014185,33.8853149671747,25.8183165399485,0,0
"491",32.2679654496191,35.6039370136468,33.0088486228455,55.9041060232621,80.8957284760322
"492",30.0516499742785,34.3737777551215,31.1749655591629,0,0
"493",50.2769826081311,55.9277328238681,61.4650360006785,0,0
"494",33.5487014908398,32.6775660159834,31.6231015192373,0,0
"495",39.7022719366873,40.8862374493369,38.8045668491003,66.2188195783194,98.3446475346138
"496",31.0484357459665,36.2835026779513,35.3246340640087,69.5759281800395,73.6495543950116
"497",34.8469689216792,36.499171827831,30.2926465747234,0,0
"498",0,0,0,0,0
"499",51.4350517001876,56.6758014348978,41.7442980491032,88.6410329254935,82.6105322301535
"500",33.2244859832576,34.6525636896367,30.7046031292422,0,0
"501",0,0.846904298349545,0,0,0
"502",0,0,0,0,0
"503",37.1742855893956,40.9815992657657,37.6553276387307,0,0
"504",31.085618321567,38.3943565059976,38.381929384819,63.0121529784202,93.812266694954
"505",38.6507233297924,37.3545776834172,40.2432904051854,54.7496702620518,0
"506",42.0919365793339,48.7342722518127,40.4827405625806,98.9176828197589,101.980374416346
"507",0,0,0,0,0
"508",34.6677630032413,38.7708967160509,42.1592134871722,0,0
"509",0,0,0,0,0
"510",34.3210276520907,35.423299303141,31.2907331084307,0,0
"511",0,0,0,0,0
"512",34.8969411675989,36.7063649526178,32.1565346928202,0,0
"513",35.2007627313433,39.4455043335682,40.3195500337656,32.8943798732544,0
"514",31.088106163282,35.6020977522207,34.0138169853451,0,0
"515",37.9781850694368,39.328408905981,38.0535462151798,51.1072421342833,47.6616791338763
"516",39.2995893130593,42.8810217227642,43.3267314077561,92.9680688480854,91.9430967318169
"517",34.398915898503,31.1279190365261,34.1805473437245,137.403740402444,124.583923423528
"518",50.1639756524955,49.1882550860275,52.5312258826848,0,0
"519",27.2847276569135,37.0863049297931,33.5021847611415,56.1695676681152,60.8011894988329
"520",30.9583784948604,34.3756863591139,36.8555848989706,0,0
"521",36.0537100699024,35.8766773135116,38.5439186509534,78.6001413204517,87.8561946296352
"522",50.7767249627039,47.8124367971224,46.0889680331922,60.4665562543683,70.0292724469017
"523",35.9141904748722,34.4839904357439,33.0152825955585,62.1867681947598,82.3747141942747
"524",28.0979351006168,32.6661329439298,20.2827195408179,66.821302297363,60.3898099708673
"525",31.9358785521269,33.5661457360472,31.6461621654712,0,0
"526",0,0,0,0,0
"527",29.5145051735338,29.9871828540953,36.1839338095488,55.6075062731253,78.8467497552056
