"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"959",15,13,3,2,2
"960",0,1,0,0,0
"961",16,14,3,2,2
"962",1,1,0,0,0
"963",0,1,0,0,0
"964",1,1,0,0,0
"965",3,1,0,0,0
"966",1,1,0,0,0
"967",2,2,0,0,0
"968",0,1,0,0,0
"969",0,1,0,0,0
"970",22,19,5,2,2
"971",1,1,0,0,0
"972",16,14,4,2,4
"973",1,2,1,1,0
"974",21,18,4,1,3
"975",0,1,0,0,0
"976",17,11,3,2,3
"977",14,13,4,2,3
"978",1,1,1,0,0
"979",0,1,0,0,1
"980",0,1,0,0,0
"981",0,1,0,0,0
"982",1,1,0,0,0
"983",3,3,1,1,0
"984",0,1,0,0,0
"985",14,11,4,2,2
"986",1,1,1,0,0
"987",1,2,0,0,0
"988",1,1,0,0,0
"989",20,14,4,2,2
"990",1,1,0,0,0
"991",19,17,4,2,3
"992",2,1,1,1,1
"993",0,1,0,0,0
"994",1,1,0,0,1
"995",15,11,4,2,4
"996",0,1,0,0,0
"997",0,1,0,0,0
"998",0,1,0,0,0
"999",13,14,4,2,2
"1000",16,13,4,1,3
"1001",0,1,0,0,0
"1002",22,18,5,2,3
"1003",15,12,4,2,2
"1004",3,3,0,0,0
"1005",21,17,4,2,2
"1006",2,2,0,1,0
"1007",1,1,0,0,0
"1008",20,15,4,2,2
"1009",0,1,0,0,0
"1010",19,15,6,1,4
"1011",1,2,1,0,0
"1012",2,3,1,1,0
"1013",1,1,1,0,1
"1014",15,12,5,2,2
"1015",0,1,1,0,0
"1016",0,1,0,0,0
"1017",22,19,4,2,2
"1018",9,6,3,2,2
"1019",0,1,0,0,0
"1020",0,1,0,0,0
"1021",0,1,0,0,0
"1022",19,17,3,2,3
"1023",21,20,5,2,3
"1024",2,3,1,0,1
"1025",12,11,3,2,2
"1026",1,1,0,0,0
"1027",12,11,3,1,2
"1028",1,1,1,0,0
"1029",2,2,1,0,0
"1030",0,1,0,0,0
"1031",0,1,0,0,0
"1032",2,2,0,0,0
"1033",0,1,0,0,0
"1034",1,1,0,0,0
"1035",1,1,0,0,0
"1036",22,20,5,2,3
"1037",23,15,4,3,3
"1038",18,12,5,2,2
"1039",3,2,0,1,0
"1040",16,14,3,1,3
"1041",1,1,0,0,0
"1042",0,1,0,0,0
"1043",13,19,4,2,2
"1044",0,2,0,0,0
"1045",1,1,0,0,0
"1046",0,1,0,0,0
"1047",0,1,0,0,0
"1048",0,1,0,0,0
"1049",14,14,5,2,2
"1050",20,12,3,1,4
"1051",2,4,1,0,1
"1052",0,1,0,0,0
