"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"528",744,824,0,0,0
"529",749,838,0,0,0
"530",0,1,0,0,0
"531",758,821,0,0,0
"532",760,823,0,0,0
"533",756,830,77,24,22
"534",767,831,93,32,32
"535",747,812,76,29,22
"536",748,830,0,0,0
"537",752,820,0,0,0
"538",745,815,0,0,0
"539",766,814,86,25,18
"540",764,833,91,29,25
"541",0,1,0,0,0
"542",730,815,93,25,30
"543",739,813,81,30,26
"544",753,816,0,0,1
"545",756,827,83,29,30
"546",743,819,0,0,0
"547",757,813,87,27,26
"548",0,1,0,0,0
"549",755,843,0,0,0
"550",0,1,0,0,0
"551",759,817,92,24,24
"552",752,833,86,31,26
"553",757,825,82,26,25
"554",755,831,86,27,22
"555",750,814,77,31,19
"556",746,795,72,31,20
"557",743,823,0,0,0
"558",748,822,85,31,24
"559",737,808,80,28,26
"560",757,819,0,0,0
"561",751,828,85,29,23
"562",757,815,83,28,30
"563",735,806,87,38,26
"564",754,819,0,0,0
"565",747,846,84,33,30
"566",752,805,89,29,21
"567",752,835,0,0,0
"568",0,1,0,0,0
"569",739,823,0,0,0
"570",749,809,82,35,30
"571",755,810,0,0,0
"572",755,826,92,29,25
"573",754,803,81,26,29
"574",755,824,79,28,21
"575",749,832,73,31,24
"576",742,830,0,0,0
"577",762,833,2,0,1
"578",738,810,81,36,35
"579",0,1,0,0,0
"580",751,814,1,0,2
"581",0,1,0,0,0
"582",753,809,81,27,25
"583",736,797,92,28,27
"584",0,1,0,0,0
"585",759,823,86,28,27
"586",749,820,88,26,30
"587",736,821,84,26,26
"588",764,819,85,30,27
"589",760,806,78,25,33
"590",751,835,81,27,22
"591",764,821,0,0,0
"592",736,826,85,22,33
"593",0,1,0,0,0
"594",0,1,0,0,0
"595",750,826,0,1,0
"596",736,795,86,26,23
"597",754,829,77,23,26
"598",750,825,81,23,27
"599",757,830,69,22,24
"600",739,837,88,21,31
"601",770,812,89,24,21
"602",0,1,0,0,0
"603",754,819,86,26,25
"604",759,830,88,28,29
"605",750,842,77,30,24
"606",0,1,0,0,0
"607",747,808,83,21,25
"608",1,1,0,0,0
"609",762,821,80,33,20
"610",756,820,80,30,25
"611",758,829,0,0,0
"612",748,822,84,30,22
"613",762,812,81,31,31
"614",746,822,0,0,0
"615",750,817,94,24,20
"616",0,1,0,0,0
"617",741,827,77,31,24
"618",759,835,87,23,25
