"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"774",814,941,125,44,75
"775",814,941,125,44,75
"776",386,598,84,33,57
"777",355,578,91,30,57
"778",425,678,91,33,56
"779",346,530,78,32,47
"780",333,523,67,26,56
"781",314,536,73,30,46
"782",814,941,125,44,75
"783",814,941,125,44,75
"784",375,604,76,35,58
"785",814,941,125,44,75
"786",340,550,80,31,53
"787",814,941,125,44,75
"788",813,941,125,44,74
"789",440,626,85,36,54
"790",814,941,125,44,75
"791",814,941,125,44,75
"792",814,941,125,44,75
"793",811,941,125,44,75
"794",813,941,125,44,75
"795",813,941,125,44,75
"796",813,940,124,44,75
"797",814,941,125,44,75
"798",269,463,64,29,48
"799",812,941,124,44,75
"800",814,941,125,44,75
"801",291,508,66,28,50
"802",814,941,125,44,75
"803",813,941,123,44,75
"804",791,923,122,43,74
"805",811,940,125,44,75
"806",305,537,61,26,52
"807",813,940,125,44,75
"808",814,941,125,44,75
"809",333,522,78,26,55
"810",812,939,125,43,75
"811",813,941,125,44,75
"812",814,940,125,44,75
"813",814,941,125,44,75
"814",814,940,125,44,75
"815",813,939,125,44,75
"816",813,941,125,44,75
"817",814,941,125,44,75
"818",814,941,125,44,75
"819",814,941,125,44,75
"820",808,939,124,44,75
"821",814,941,125,44,75
"822",354,570,77,23,53
"823",282,470,60,26,47
"824",254,459,61,25,53
"825",812,938,125,44,75
"826",814,941,125,44,75
"827",814,939,125,44,75
"828",814,941,124,44,75
"829",436,671,93,42,60
"830",809,939,123,44,75
"831",813,941,125,44,74
"832",407,605,86,34,59
"833",814,941,125,44,75
"834",814,941,125,44,75
"835",814,941,125,44,75
"836",814,941,125,44,75
"837",805,940,125,44,75
"838",813,940,125,44,75
"839",811,941,125,44,75
"840",814,941,125,44,75
"841",814,941,125,44,75
"842",334,516,70,34,46
"843",327,486,74,32,53
"844",814,941,125,44,75
"845",401,637,80,29,61
"846",814,941,125,44,75
"847",369,575,68,33,58
