"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"964",0,1,0,0,0
"965",2,1,0,0,0
"966",41,43,6,2,3
"967",2,3,0,0,0
"968",1,1,0,0,0
"969",22,20,4,2,2
"970",44,35,5,3,3
"971",1,1,0,0,0
"972",46,38,7,4,2
"973",0,1,0,0,0
"974",0,1,0,0,0
"975",1,1,0,0,0
"976",3,2,0,0,0
"977",0,0,0,0,0
"978",41,36,5,2,2
"979",0,1,1,0,0
"980",38,43,6,2,2
"981",10,6,2,1,1
"982",0,1,0,0,0
"983",1,1,0,0,0
"984",0,1,1,0,1
"985",0,0,0,0,0
"986",0,1,0,0,0
"987",1,1,0,0,0
"988",0,1,0,0,0
"989",15,7,2,1,1
"990",43,38,6,3,2
"991",10,5,1,1,1
"992",51,44,4,2,3
"993",1,1,0,0,1
"994",0,1,0,0,0
"995",20,17,4,1,3
"996",0,1,1,0,0
"997",2,2,0,1,0
"998",1,1,0,0,0
"999",1,2,0,0,0
"1000",0,1,0,0,0
"1001",0,1,0,0,0
"1002",0,1,0,0,0
"1003",0,2,1,0,0
"1004",0,1,0,0,0
"1005",1,1,0,1,0
"1006",38,31,6,2,3
"1007",27,29,4,2,2
"1008",1,1,0,0,0
"1009",42,28,7,2,3
"1010",2,1,1,0,0
"1011",5,4,0,0,0
"1012",43,41,4,4,3
"1013",1,3,0,0,0
"1014",0,1,0,0,0
"1015",0,2,0,0,0
"1016",42,28,5,2,3
"1017",5,3,1,0,1
"1018",20,15,3,2,2
"1019",1,1,0,0,0
"1020",4,3,1,1,0
"1021",0,1,1,0,0
"1022",2,2,1,0,0
"1023",0,1,0,0,0
"1024",0,1,0,0,0
"1025",23,25,4,2,4
"1026",1,1,0,0,0
"1027",2,1,1,0,0
"1028",42,27,4,3,3
"1029",1,1,0,0,0
"1030",26,25,4,2,3
"1031",3,5,1,1,1
"1032",0,1,0,0,0
"1033",0,0,0,0,0
"1034",0,1,0,0,0
"1035",0,1,0,0,0
"1036",0,0,0,0,0
"1037",38,33,6,3,3
"1038",0,1,0,0,0
"1039",1,1,0,0,0
"1040",0,1,0,0,0
"1041",41,37,6,3,3
"1042",33,26,4,2,2
"1043",1,2,0,0,0
"1044",0,1,0,0,0
"1045",0,0,1,0,0
"1046",51,40,6,4,3
"1047",31,23,6,2,2
"1048",3,4,1,0,1
"1049",0,2,0,0,0
"1050",0,0,0,0,0
"1051",0,1,0,0,0
"1052",0,1,0,0,0
