"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"682",39,48,27,3,37
"683",29,36,32,9,36
"684",24,57,24,8,44
"685",18,51,29,8,36
"686",0,0,0,0,0
"687",0,0,0,0,0
"688",42,42,19,5,36
"689",0,0,0,0,0
"690",36,47,19,13,36
"691",30,50,36,9,41
"692",32,54,35,10,42
"693",32,53,41,10,33
"694",31,42,26,11,39
"695",26,55,31,11,38
"696",26,49,30,6,33
"697",33,49,35,5,30
"698",34,48,28,9,30
"699",34,46,24,8,46
"700",33,35,30,10,40
"701",23,46,24,7,37
"702",35,50,26,3,35
"703",33,40,26,12,37
"704",0,0,0,0,0
"705",0,0,0,0,0
"706",34,63,34,10,39
"707",28,50,32,8,39
"708",25,52,29,7,40
"709",30,46,31,8,31
"710",25,43,21,5,38
"711",0,0,0,0,0
"712",23,46,21,4,39
"713",24,55,30,10,41
"714",0,0,0,0,0
"715",0,0,0,0,0
"716",34,46,29,7,37
"717",37,42,26,5,37
"718",37,45,30,7,33
"719",27,44,33,12,39
"720",32,45,31,9,37
"721",21,42,36,8,34
"722",28,53,31,2,34
"723",32,47,25,8,34
"724",30,55,30,8,34
"725",29,49,32,4,46
"726",30,56,33,7,37
"727",36,50,35,6,34
"728",25,56,26,6,37
"729",0,0,0,0,0
"730",24,55,18,7,34
"731",0,0,0,0,0
"732",25,42,38,8,31
"733",27,51,33,7,32
"734",24,49,37,8,44
"735",33,54,31,7,38
"736",27,51,33,10,33
"737",0,0,0,0,0
"738",27,44,33,3,38
"739",23,39,22,6,31
"740",32,40,25,6,42
"741",22,61,29,8,38
"742",0,0,0,0,0
"743",30,41,34,4,33
"744",0,0,0,0,0
"745",32,44,34,8,37
"746",35,45,27,3,33
"747",36,49,28,6,38
"748",0,0,0,0,0
"749",24,55,30,5,35
"750",35,48,32,5,43
"751",0,0,0,0,0
"752",30,35,34,8,38
"753",0,0,0,0,0
"754",0,0,0,0,0
"755",38,33,26,10,36
"756",31,62,35,12,35
"757",32,50,29,11,37
"758",19,40,27,7,42
"759",28,39,32,4,37
"760",0,0,0,0,0
"761",31,39,30,7,39
"762",31,48,29,7,33
"763",26,42,29,3,38
"764",35,51,26,6,44
"765",31,49,34,8,39
"766",44,52,17,9,36
"767",32,48,32,2,36
"768",26,48,25,8,36
"769",29,44,29,2,44
"770",20,52,32,8,36
"771",30,56,25,9,26
"772",35,39,29,8,38
"773",0,0,0,0,0
"774",34,46,30,6,38
"775",0,0,0,0,0
"776",44,43,28,7,42
"777",0,0,0,0,0
"778",27,41,34,5,36
"779",39,40,38,7,38
"780",36,53,30,8,37
"781",41,42,30,11,41
"782",30,52,27,7,41
"783",0,1,0,0,0
"784",0,0,0,0,0
"785",40,45,27,6,44
"786",0,0,0,0,0
"787",34,47,25,11,37
"788",29,49,21,9,34
"789",21,55,28,7,32
"790",24,53,27,8,37
"791",33,59,34,5,34
"792",28,31,33,10,29
"793",40,53,32,8,28
"794",20,47,27,12,30
"795",34,46,31,6,34
"796",23,31,24,7,38
"797",31,48,35,6,31
"798",27,44,23,8,31
"799",30,41,28,5,38
"800",28,53,19,5,31
"801",39,51,28,9,39
"802",41,44,32,7,43
"803",24,36,32,5,32
"804",35,55,29,11,28
"805",32,61,25,10,36
"806",32,44,33,7,33
"807",34,47,22,10,35
"808",36,47,33,3,40
"809",29,42,26,11,37
"810",19,45,32,11,31
"811",37,44,28,8,39
"812",25,37,29,10,35
"813",41,52,29,13,40
"814",38,49,27,6,33
"815",25,34,29,6,31
"816",29,52,26,7,34
"817",0,0,0,0,0
"818",31,54,22,5,42
"819",31,43,29,7,34
"820",0,0,0,0,0
"821",20,49,34,5,32
"822",25,44,28,8,44
"823",42,46,24,4,43
"824",26,37,39,2,40
"825",25,42,33,4,40
"826",34,47,24,14,47
"827",35,58,26,11,38
"828",34,47,31,8,43
"829",20,52,30,6,31
"830",0,0,0,0,0
"831",30,48,29,6,35
"832",0,0,0,0,0
"833",31,45,36,10,31
"834",33,58,27,7,52
"835",0,0,0,0,0
"836",34,51,35,8,35
"837",25,52,26,7,38
"838",25,47,33,11,33
"839",38,53,37,9,35
"840",28,38,27,9,41
"841",32,46,25,5,45
"842",44,58,39,11,32
"843",29,50,29,9,40
"844",37,47,34,8,38
"845",42,45,27,6,44
"846",28,59,28,9,40
"847",27,49,28,6,42
"848",26,49,25,9,38
"849",30,45,35,11,41
"850",25,41,27,7,39
"851",30,48,26,11,37
"852",35,55,27,11,35
"853",35,48,28,9,40
"854",30,44,28,8,36
"855",50,50,22,7,37
"856",31,41,29,6,38
"857",25,35,26,5,31
"858",31,52,29,4,42
"859",33,52,32,9,39
"860",22,60,25,7,40
"861",31,53,38,9,42
"862",0,0,0,0,0
"863",0,0,0,0,0
"864",25,40,21,10,34
"865",30,44,30,8,29
"866",0,0,0,0,0
"867",0,0,0,0,0
"868",19,36,31,7,31
"869",0,0,0,0,0
"870",0,0,0,0,0
"871",22,45,25,3,38
"872",31,34,26,12,32
"873",35,52,32,10,39
"874",32,33,25,12,46
"875",0,0,0,0,0
"876",36,46,29,8,37
"877",32,50,37,7,38
"878",27,40,23,8,28
"879",25,32,31,4,41
"880",36,57,29,7,33
"881",24,52,30,6,41
"882",29,36,38,7,31
"883",34,55,23,7,45
"884",24,41,33,8,31
"885",36,49,32,5,42
"886",43,43,26,7,25
"887",24,52,32,6,41
"888",36,46,28,10,37
"889",31,42,35,7,39
"890",28,42,37,6,42
"891",22,42,33,8,38
"892",28,51,25,5,40
"893",34,36,25,9,34
"894",0,0,0,0,0
"895",28,49,30,5,41
"896",33,59,39,9,37
"897",26,49,26,12,37
"898",27,44,27,8,41
"899",28,32,33,5,39
"900",28,36,34,6,30
"901",30,44,30,6,30
"902",0,0,0,0,0
"903",0,0,0,0,0
"904",32,41,25,6,34
"905",39,47,29,7,37
"906",32,37,30,5,35
"907",35,48,40,13,31
"908",0,0,0,0,0
"909",0,0,0,0,0
"910",34,49,19,8,35
"911",26,55,29,4,33
"912",24,38,25,4,38
"913",37,41,31,10,36
"914",0,0,0,0,0
"915",31,56,29,9,41
"916",30,38,27,9,28
"917",24,38,41,11,42
"918",32,49,29,10,41
"919",27,46,24,7,36
"920",28,45,29,7,40
"921",26,46,39,6,38
"922",33,53,30,12,42
"923",0,0,0,0,0
"924",20,47,34,9,44
"925",30,50,27,7,40
"926",29,45,40,8,33
"927",26,39,30,10,40
"928",19,38,25,8,45
"929",38,43,30,11,41
"930",0,0,0,0,0
"931",38,45,33,8,36
"932",0,0,0,0,0
"933",32,52,34,11,39
"934",32,36,28,10,41
"935",33,48,33,7,31
"936",47,46,29,9,36
"937",21,39,27,6,37
"938",24,54,27,10,39
"939",24,55,33,8,31
"940",32,40,29,8,41
"941",0,0,0,0,0
"942",32,53,32,8,33
"943",28,37,23,4,37
"944",38,47,29,9,29
