"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"1031",36,27,7,3,5
"1032",0,1,0,0,0
"1033",0,1,0,0,0
"1034",1,1,0,0,0
"1035",28,25,4,2,3
"1036",0,1,0,0,0
"1037",0,2,0,0,0
"1038",0,1,0,0,0
"1039",1,1,0,0,0
"1040",0,1,0,0,0
"1041",0,1,0,0,0
"1042",29,23,5,2,4
"1043",26,21,5,2,3
"1044",4,3,2,0,0
"1045",0,1,0,0,0
"1046",0,1,0,0,0
"1047",0,0,0,0,0
"1048",4,2,0,1,1
"1049",20,15,3,2,2
"1050",0,1,0,0,0
"1051",2,1,0,0,0
"1052",0,1,0,0,0
