contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.2,modSV,0.0503,0.0008303,0.04419,0.0002619,0.1604,0.001557,0.844,0.844,0.39,0.156,0.156,0.608,0.7625,0.002998,0.8841,0.000602,0.5924,0.002906,0.06188,0.0476,0.2086,61.45,0.8742,48.38,0.3856,87.26,1.381
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.5,modSV,0.02972,0.000379,0.03482,0.0002786,0.08508,0.004085,0.62,0.62,0.026,0.38,0.38,0.94,0.5562,0.001777,0.6865,0.001584,0.3173,0.01426,0.05072,0.04827,0.1863,75.35,1.068,70.06,0.6768,128,6.232
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.05901,0.0009231,0.04473,0.0002581,0.1887,0.001192,0.862,0.862,0.53,0.138,0.138,0.47,0.8205,0.003225,0.9214,0.0003843,0.6771,0.00167,0.0671,0.0463,0.2205,53.63,0.633,41.12,0.2843,69.6,0.7795
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.2,modSV,0.03956,0.0006543,0.04307,0.0002483,0.1654,0.002621,0.806,0.806,0.124,0.194,0.194,0.876,0.7257,0.002219,0.8842,0.0005905,0.5957,0.004985,0.05169,0.04645,0.2154,52.61,0.6437,48.52,0.363,84.93,2.525
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.5,modSV,0.02839,0.0002238,0.03508,0.0002531,0.06,0.0074,0.662,0.662,0.002,0.338,0.338,0.986,0.5476,0.0013,0.6827,0.001511,0.2521,0.02294,0.04929,0.04888,0.1529,70.65,0.7344,69.86,0.6172,99.65,14.84
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.05863,0.0007789,0.04372,0.0002672,0.1639,0.001299,0.808,0.808,0.582,0.192,0.192,0.418,0.7938,0.00279,0.8848,0.0006062,0.5959,0.002348,0.06878,0.04708,0.2127,67.98,0.8629,48.91,0.4043,85.88,1.055
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.02013,0.0002516,0.02471,0.0002725,0.06937,0.01441,0.472,0.472,0.004,0.474,0.474,0.992,0.4198,0.001922,0.5229,0.002336,0.2575,0.03299,0.04575,0.04512,0.1947,118,1.819,115,1.62,208.5,28.44
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07052,0.000672,0.04544,0.000254,0.1938,0.001016,0.858,0.858,0.756,0.142,0.142,0.244,0.8564,0.002188,0.9215,0.0003822,0.6758,0.001462,0.07608,0.04699,0.226,58.64,0.5898,41.79,0.3264,68.77,0.6853
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateR,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.01057,0.0003701,0.0118,0.0002618,0.0425,0,0.24,0.24,0,0.47,0.48,0.98,0.5831,0.00506,0.7093,0.003358,0.4012,0.01875,0.0178,0.01637,0.09477,85.55,3.844,72.09,1.978,157.3,8.25
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset48,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.09053,0.0008477,0.06536,0.0003772,0.2207,0.001061,0.838,0.838,0.726,0.162,0.162,0.274,0.839,0.002251,0.9036,0.0004694,0.6698,0.001243,0.09739,0.06745,0.237,58.05,0.5779,41.21,0.3275,68.4,0.6735
shield_cont2_age3_age2_20,IsolateNO,Limit500,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06869,0.0006793,0.04539,0.0002629,0.1887,0.0009746,0.884,0.884,0.758,0.116,0.116,0.242,0.8617,0.002306,0.9337,0.0003439,0.6688,0.00143,0.07383,0.04637,0.2219,53.86,0.5442,37.3,0.2646,64.54,0.6088
shield_cont2_age3_age2_20,IsolateYES,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1044,0.0007566,0.07897,0.000342,0.2293,0.0009894,0.816,0.816,0.734,0.184,0.184,0.266,0.836,0.002046,0.8919,0.0004095,0.6807,0.001223,0.111,0.08134,0.2301,54.5,0.5275,37.45,0.3476,63.94,0.5872
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.2,modSV,0.04981,0.0007982,0.04395,0.0002343,0.1535,0.001465,0.824,0.824,0.392,0.176,0.176,0.608,0.7605,0.002966,0.8824,0.0006407,0.572,0.003144,0.06148,0.04745,0.2053,61.61,0.8471,48.9,0.3678,86.41,1.178
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.5,modSV,0.0289,0.0002955,0.03453,0.0002567,0.06948,0.003851,0.668,0.668,0.012,0.332,0.332,0.952,0.5463,0.001518,0.6763,0.001477,0.2722,0.01321,0.05025,0.04857,0.1693,72.81,0.8805,69.16,0.6321,114.4,6.251
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.05957,0.0009004,0.04477,0.0002531,0.1859,0.001278,0.874,0.874,0.558,0.126,0.126,0.442,0.8214,0.00307,0.9207,0.0003897,0.6634,0.001845,0.06762,0.04637,0.2206,54.8,0.664,41.78,0.3467,70,0.8382
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.2,modSV,0.03853,0.0005947,0.04302,0.000257,0.16,0.002624,0.796,0.796,0.102,0.204,0.204,0.898,0.7202,0.002061,0.8817,0.0006576,0.578,0.00631,0.05078,0.04652,0.2133,52.09,0.629,48.78,0.3949,83.42,2.877
