"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"698",0,0,0,0,0
"699",16,20,9,4,9
"700",23,23,8,4,9
"701",24,17,4,3,9
"702",12,19,11,2,11
"703",20,17,11,4,9
"704",0,0,0,0,0
"705",16,19,4,3,7
"706",15,22,13,2,11
"707",0,1,0,0,0
"708",0,0,0,0,0
"709",17,17,6,3,10
"710",0,0,0,0,0
"711",20,18,7,4,11
"712",0,0,0,0,0
"713",22,23,10,2,9
"714",18,21,8,3,10
"715",21,23,6,3,8
"716",0,0,0,0,0
"717",19,18,8,3,9
"718",21,17,10,2,5
"719",0,0,0,0,0
"720",0,0,0,0,0
"721",0,0,0,0,0
"722",14,17,8,3,8
"723",0,0,0,0,0
"724",24,20,5,1,11
"725",15,12,6,4,7
"726",0,0,0,0,0
"727",0,0,0,0,0
"728",19,17,6,3,9
"729",22,17,8,4,9
"730",0,0,0,0,0
"731",16,16,8,2,6
"732",21,28,10,4,8
"733",0,0,0,0,0
"734",16,26,5,3,9
"735",0,0,0,0,0
"736",17,17,7,2,7
"737",0,0,0,0,0
"738",23,22,7,4,7
"739",22,25,11,4,5
"740",13,18,8,2,10
"741",19,23,7,2,9
"742",16,20,7,7,9
"743",14,17,7,5,7
"744",20,28,11,4,5
"745",0,0,0,0,0
"746",16,20,10,2,11
"747",0,0,0,0,0
"748",19,22,8,3,7
"749",15,18,10,4,10
"750",17,19,6,6,10
"751",21,13,7,4,8
"752",18,19,9,2,7
"753",0,0,0,0,0
"754",21,26,6,3,6
"755",0,0,0,0,0
"756",0,0,0,0,0
"757",18,23,9,2,10
"758",16,18,10,3,8
"759",0,0,0,0,0
"760",21,14,6,0,6
"761",15,20,5,3,5
"762",19,17,12,2,9
"763",0,0,0,0,0
"764",0,0,0,0,0
"765",17,16,8,2,9
"766",18,19,7,3,10
"767",0,0,0,0,0
"768",18,19,6,2,12
"769",18,18,8,3,14
"770",0,0,0,0,0
"771",0,0,0,0,0
"772",23,23,7,2,13
"773",18,17,9,3,8
"774",0,0,0,0,0
"775",0,0,0,0,0
"776",22,23,11,3,9
"777",0,0,0,0,0
"778",17,22,8,4,7
"779",14,22,10,5,9
"780",14,16,6,2,8
"781",17,17,9,3,7
"782",17,20,6,3,10
"783",0,0,0,0,0
"784",20,23,8,4,9
"785",15,15,8,2,8
"786",0,0,0,0,0
"787",1,0,0,0,0
"788",13,17,5,4,10
"789",15,16,8,4,10
"790",20,14,9,2,8
"791",0,0,0,0,0
"792",13,18,10,3,7
"793",23,21,7,4,6
"794",0,0,0,0,0
"795",14,19,6,3,8
"796",21,22,10,2,9
"797",13,17,9,4,10
"798",0,0,0,0,0
"799",14,13,8,5,14
"800",20,13,6,2,10
"801",0,0,0,0,0
"802",29,22,7,2,6
"803",19,12,6,2,9
"804",0,0,0,0,0
"805",18,15,4,1,7
"806",0,0,0,0,0
"807",0,0,0,0,0
"808",0,0,0,0,0
"809",0,0,0,0,0
"810",22,16,7,4,6
"811",12,20,7,3,10
"812",14,18,6,3,10
"813",0,0,0,0,0
"814",17,20,10,1,7
"815",0,0,0,0,0
"816",0,0,0,0,0
"817",17,15,8,3,11
"818",0,0,0,0,0
"819",0,0,0,0,0
"820",0,0,0,0,0
"821",17,13,7,2,11
"822",17,19,12,4,13
"823",17,16,8,4,9
"824",0,0,0,0,0
"825",18,17,9,3,9
"826",23,19,11,4,6
"827",16,19,9,2,11
"828",12,17,10,5,11
"829",19,27,9,3,9
"830",22,21,10,3,9
"831",18,20,7,2,9
"832",0,0,0,0,0
