"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"711",0,0,0,0,0
"712",6,5,3,2,6
"713",7,5,3,1,2
"714",5,4,2,1,5
"715",0,0,0,0,0
"716",0,0,0,0,0
"717",0,0,0,0,0
"718",0,0,0,0,0
"719",0,0,0,0,0
"720",0,0,0,0,0
"721",2,5,4,2,5
"722",0,0,0,0,0
"723",4,5,3,1,2
"724",5,4,4,0,3
"725",0,1,0,0,0
"726",0,0,0,0,0
"727",6,4,4,1,4
"728",0,0,0,0,0
"729",4,4,2,1,3
"730",0,0,0,0,0
"731",0,1,0,0,0
"732",0,0,0,0,0
"733",3,7,2,2,6
"734",5,6,2,1,4
"735",0,0,0,0,0
"736",4,6,3,1,4
"737",0,0,0,0,0
"738",0,0,0,0,0
"739",7,5,3,1,4
"740",6,3,4,1,7
"741",6,6,3,2,6
"742",0,0,0,0,0
"743",0,1,0,0,0
"744",0,0,1,0,1
"745",5,4,3,2,4
"746",0,0,0,0,0
"747",5,4,2,3,2
"748",9,5,3,1,4
"749",3,7,2,2,4
"750",0,0,0,0,0
"751",0,0,0,0,0
"752",6,4,4,2,2
"753",0,0,0,0,0
"754",0,0,0,0,0
"755",0,0,0,0,0
"756",0,0,0,0,0
"757",1,0,0,0,0
"758",5,6,3,1,5
"759",3,6,4,1,5
"760",7,5,4,1,3
"761",0,0,0,0,0
"762",0,0,0,0,0
"763",9,6,5,1,5
"764",0,0,0,0,0
"765",5,5,3,2,7
"766",5,7,4,1,3
"767",0,0,0,0,0
"768",0,0,0,0,0
"769",0,0,0,0,0
"770",0,0,0,0,0
"771",0,0,0,0,0
"772",0,0,0,0,0
"773",4,4,4,1,2
"774",3,7,4,1,3
"775",0,0,0,0,0
"776",6,3,3,1,5
"777",3,4,3,4,3
"778",5,4,3,1,2
"779",6,4,3,1,3
"780",0,0,0,0,0
"781",0,0,0,0,0
"782",0,0,0,0,0
"783",0,0,0,0,0
"784",0,0,0,0,0
"785",5,4,2,2,4
"786",5,4,6,1,4
"787",0,0,0,0,0
"788",5,2,3,3,5
"789",5,7,4,2,3
"790",0,0,0,0,0
"791",0,0,0,0,0
"792",0,0,0,0,0
"793",0,0,0,0,0
"794",0,0,0,0,0
"795",0,0,0,0,0
"796",4,4,5,1,4
"797",0,0,0,0,0
"798",0,0,0,0,1
"799",0,0,0,0,0
"800",4,4,3,1,3
"801",0,0,0,0,0
"802",6,3,3,2,2
"803",7,5,3,3,5
"804",6,4,5,3,3
"805",0,0,0,0,0
"806",4,4,4,2,5
"807",0,0,0,0,0
"808",0,0,0,0,0
"809",0,0,0,0,0
"810",0,0,0,0,0
"811",0,0,0,0,0
"812",4,3,3,1,2
"813",0,0,0,0,0
"814",0,0,0,0,0
"815",4,2,3,1,3
"816",0,0,0,0,0
"817",0,0,0,0,0
"818",5,6,4,1,5
"819",0,0,0,0,0
"820",0,0,0,0,0
"821",6,2,3,1,5
"822",6,3,5,1,3
"823",4,4,4,2,3
"824",0,0,0,0,0
"825",4,4,4,1,5
"826",8,5,3,1,4
"827",0,0,0,0,0
"828",7,5,3,1,5
"829",10,5,4,1,5
"830",0,0,0,0,0
"831",6,3,4,2,4
"832",3,6,4,1,4
"833",5,4,3,1,4
"834",0,0,0,0,0
"835",6,4,3,0,3
"836",0,0,0,0,0
"837",8,6,5,1,3
"838",4,4,2,1,2
"839",0,0,0,0,0
"840",0,0,0,0,0
"841",5,6,4,2,5
"842",4,6,3,2,3
"843",4,4,2,1,3
"844",0,0,0,0,0
"845",4,5,2,1,2
"846",0,1,0,0,0
"847",3,4,3,1,3
"848",0,0,0,0,0
"849",4,3,3,0,3
"850",6,7,3,2,3
"851",5,5,3,2,4
"852",0,0,0,0,0
"853",5,5,4,1,4
