"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"428",176,12,166,12,25,7,6
"429",161,17,162,21,17,5,7
"430",190,0,174,0,0,0,0
"431",182,1,202,0,0,0,0
"432",155,0,157,0,0,0,0
"433",190,0,176,0,0,0,0
"434",167,12,160,19,16,5,6
"435",181,15,181,18,16,5,8
"436",164,11,179,16,13,6,7
"437",169,12,156,20,17,5,7
"438",192,15,187,17,17,8,8
"439",201,0,182,0,0,0,0
"440",191,14,182,23,19,8,13
"441",201,15,168,23,20,6,8
"442",159,16,170,20,19,5,7
"443",0,0,1,0,0,0,0
"444",166,11,178,14,14,5,7
"445",174,14,172,21,18,7,11
"446",0,0,1,0,0,0,0
"447",0,0,0,0,0,0,0
"448",162,13,156,19,17,10,8
"449",154,14,158,20,17,6,10
"450",0,0,1,0,0,0,0
"451",156,16,179,21,21,8,8
"452",189,15,168,22,20,8,8
"453",0,0,1,0,0,0,0
"454",169,10,184,15,17,5,8
"455",173,13,182,18,23,6,9
"456",151,15,153,19,21,5,8
"457",161,18,163,18,14,10,5
"458",0,0,1,0,0,0,0
"459",195,15,181,17,18,6,9
"460",171,0,165,1,0,0,1
"461",208,14,203,18,19,5,9
"462",0,0,1,0,0,0,0
"463",154,15,184,20,16,8,6
"464",181,9,180,19,16,5,8
"465",0,0,1,0,0,0,0
"466",184,18,177,18,19,9,7
"467",160,14,175,18,21,5,7
"468",173,17,174,17,19,9,7
"469",177,13,176,15,18,8,7
"470",158,15,189,19,17,7,7
"471",151,17,173,21,19,7,9
"472",170,15,181,19,21,7,9
"473",194,15,163,21,21,6,10
"474",173,11,154,16,13,5,7
"475",162,14,179,13,17,9,12
"476",186,12,176,13,17,5,6
"477",173,13,163,16,23,10,9
"478",169,0,162,0,1,0,1
"479",178,15,196,17,16,4,7
"480",150,16,156,17,21,7,6
"481",173,19,157,17,17,5,9
"482",175,14,170,18,15,5,7
"483",0,0,0,0,0,0,0
"484",199,22,206,18,27,6,9
"485",158,9,155,21,14,8,6
"486",161,15,188,15,17,9,8
"487",185,15,174,14,18,6,11
"488",176,0,175,0,0,0,0
"489",164,12,167,18,17,8,7
"490",164,19,192,20,18,10,10
"491",0,0,0,0,0,0,0
"492",171,13,189,16,18,7,9
"493",174,13,162,21,15,9,7
"494",162,12,149,17,23,7,14
"495",168,18,177,17,17,9,9
"496",0,0,1,0,0,0,0
"497",159,10,172,11,14,5,7
"498",173,17,163,14,21,8,11
"499",165,0,158,0,0,0,0
"500",179,8,183,14,16,6,8
