"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"988",80,100,13,6,9
"989",104,88,14,5,9
"990",91,92,13,6,9
"991",104,99,13,4,6
"992",0,1,0,0,0
"993",0,1,0,0,0
"994",0,1,0,0,0
"995",81,84,15,8,7
"996",88,91,17,5,9
"997",89,83,13,5,6
"998",71,77,12,7,10
"999",82,81,13,6,9
"1000",65,66,11,3,4
"1001",80,77,13,5,7
"1002",98,87,12,6,7
"1003",84,102,15,5,7
"1004",90,70,15,5,7
"1005",87,84,19,5,7
"1006",0,1,0,0,0
"1007",0,1,1,0,0
"1008",75,86,14,5,8
"1009",92,101,18,5,11
"1010",0,1,0,0,0
"1011",78,85,14,5,8
"1012",0,1,0,0,0
"1013",88,93,15,5,11
"1014",91,80,16,7,9
"1015",0,1,0,0,0
"1016",76,83,13,6,7
"1017",95,92,25,9,9
"1018",0,1,0,0,0
"1019",91,94,13,6,10
"1020",84,89,16,10,8
"1021",88,82,15,5,10
"1022",90,80,11,5,9
"1023",0,1,0,0,0
"1024",91,84,14,4,11
"1025",81,68,14,6,8
"1026",0,1,0,0,0
"1027",90,101,15,6,8
"1028",104,97,17,7,8
"1029",0,1,0,0,0
"1030",0,1,0,0,0
"1031",93,84,13,9,8
"1032",0,1,0,0,0
"1033",85,77,15,5,11
"1034",94,100,20,7,10
"1035",87,88,15,5,7
"1036",97,85,15,5,10
"1037",0,1,0,0,0
"1038",104,90,12,6,5
"1039",82,109,16,6,13
"1040",1,1,0,0,1
"1041",0,1,0,0,0
"1042",73,78,16,7,9
"1043",103,123,21,7,9
"1044",84,84,14,4,10
"1045",87,85,17,8,9
"1046",93,103,13,9,8
"1047",78,90,14,4,7
"1048",106,96,17,5,7
"1049",80,88,15,6,10
"1050",81,103,18,8,9
"1051",85,87,13,6,8
"1052",88,93,14,6,8
